model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон Infinix Smart 7 Plus 3/64GB Черный RU	6 999				Infinix	Черный	Июль 2023 г.	Китай	207 г	6.6 ''	IPS	60 Гц	64 ГБ	3 ГБ	6000	8-ядерный Unisoc Spreadtrum SC9863A 2.00 ГГц	8 Mpix	Два модуля (13 + 0.08 Mpix)
Смартфон Xiaomi Redmi 13C 256GB Белый RU	13 999	14 999	3.0	1	Xiaomi	Белый	Декабрь 2023 г.	Китай	192 г	6.74 ''	IPS	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	8 Mpix	Два модуля (50 + 2 Mpix + 3D ToF)
Смартфон TECNO Spark 10C 4/64GB Черный RU	8 499	9 990	5.0	3	TECNO	Черный	Апрель 2023 г.	Китай	192 г	6.56 ''	IPS	90 Гц	64 ГБ	4 ГБ	5000	8-ядерный Unisoc T606 1.60 ГГц	8 Mpix	Два модуля (16 + 0.08 Mpix)
Смартфон Xiaomi Redmi 12 4/128GB Polar Silver RU	10 999		4.8	5	Xiaomi	Серебристый	Июнь 2023 г.	Китай	199 г	6.79 ''	Full HD+		128 ГБ	4 ГБ	5000	8-ядерный MediaTek HelioG88 2.00 ГГц	8 Mpix	Три модуля (50 + 8 + 2 Mpix)
Смартфон Infinix Smart 8 Pro 8/128GB, белый	10 999	12 999			Infinix	Белый		Китай	184 г	6.56 ''	HD Plus IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный MediaTek G36 2.20 ГГц	8 Mpix	Два модуля (50 + 0.80 Mpix)
Смартфон Samsung Galaxy A34 128GB Желтый EAC	23 499		5.0	3	Samsung	Желтый	Март 2023 г.		199 г	6.6 ''	Super AMOLED	120 Гц	128 ГБ	6 ГБ	5000	8-ядерный Samsung Dimensity 1080 2.60 ГГц	13 Mpix	Три модуля (48 + 8 + 5 Mpix)
Смартфон TECNO Spark 10 8/128GB Черный RU	10 999	12 990	4.8	11	TECNO	Черный	Апрель 2023 г.	Китай	188 г	6.56 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G37 2.30 ГГц	8 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон Samsung Galaxy A35 8/256GB Голубой EAC	33 999	38 999	5.0	1	Samsung	Голубой	Март 2024 г.		209 г	6.6 ''	Super AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный Samsung Exynos 1380 2.40 ГГц	13 Mpix	Три модуля (50 + 8 + 5 Mpix)
Смартфон Infinix Note 30 8/256 Золотой RU	15 999	23 999	5.0	3	Infinix	Золотистый	Июль 2023 г.	Китай	219 г	6.78 ''	IPS	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16 Mpix	Три модуля (64 + 2 + 0.30 Mpix)
Смартфон HONOR 90 256GB Полночный черный EAC	36 999	40 999	4.5	10	HONOR	Черный		Китай	183 г	6.7 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный Qualcomm Snapdragon 7 Gen 1 2.50 ГГц	50 Mpix	Три модуля (200 + 12 + 2 Mpix)
