model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон HONOR 200 12/512GB Зелёный EAC	44999	59999			HONOR	Зеленый	2024-07	Китай	166	6.7	AMOLED	90	512	12	5200	8-ядерный Qualcomm Snapdragon 7 Gen 3 2.63 ГГц	50	Три модуля (50 + 50 + 12 Mpix)
Смартфон HONOR X5 Plus 64GB Черный RU	12999	14999			HONOR	Черный	2023-09	Китай	188	6.5	TFT LCD		64	4	5200	8-ядерный MediaTek Helio G36 2.20 ГГц	5	Два модуля (50 + 2 Mpix)
Смартфон HONOR 200 Pro 12/512GB Чёрный EAC	64999	74999			HONOR	Черный	2024-07	Китай		6.78	AMOLED	90	512	12	5200	8-ядерный Qualcomm Snapdragon 8s Gen3 3.00 ГГц	50	Три модуля (50 + 50 + 12 Mpix)
Смартфон realme C61 8/128, Gold RU	11999	13999	5	5	realme	Золотистый	2024-07	Китай	187	6.74	IPS	90	128	8	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	5	50 Mpix
Смартфон Infinix Smart 7 Plus 3/64GB Черный RU	6999				Infinix	Черный	2023-07	Китай	207	6.6	IPS	60	64	3	6000	8-ядерный Unisoc Spreadtrum SC9863A 2.00 ГГц	8	Два модуля (13 + 0.08 Mpix)
Смартфон Xiaomi Redmi 13C 256GB Белый RU	13999	14999	3	1	Xiaomi	Белый	2023-12	Китай	192	6.74	IPS	90	256	8	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	8	Два модуля (50 + 2 Mpix + 3D ToF)
Смартфон TECNO Spark 10C 4/64GB Черный RU	8499	9990	5	3	TECNO	Черный	2023-04	Китай	192	6.56	IPS	90	64	4	5000	8-ядерный Unisoc T606 1.60 ГГц	8	Два модуля (16 + 0.08 Mpix)
Смартфон Xiaomi Redmi 12 4/128GB Polar Silver RU	10999		4.8	5	Xiaomi	Серебристый	2023-06	Китай	199	6.79	Full HD+		128	4	5000	8-ядерный MediaTek HelioG88 2.00 ГГц	8	Три модуля (50 + 8 + 2 Mpix)
Смартфон Infinix Smart 8 Pro 8/128GB, белый	10999	12999			Infinix	Белый		Китай	184	6.56	HD Plus IPS	90	128	8	5000	8-ядерный MediaTek G36 2.20 ГГц	8	Два модуля (50 + 0.80 Mpix)
Смартфон Samsung Galaxy A34 128GB Желтый EAC	23499		5	3	Samsung	Желтый	2023-03		199	6.6	Super AMOLED	120	128	6	5000	8-ядерный Samsung Dimensity 1080 2.60 ГГц	13	Три модуля (48 + 8 + 5 Mpix)
Смартфон TECNO Spark 10 8/128GB Черный RU	10999	12990	4.8	11	TECNO	Черный	2023-04	Китай	188	6.56	IPS	90	128	8	5000	8-ядерный MediaTek Helio G37 2.30 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон Samsung Galaxy A35 8/256GB Голубой EAC	33999	38999	5	1	Samsung	Голубой	2024-03		209	6.6	Super AMOLED	120	256	8	5000	8-ядерный Samsung Exynos 1380 2.40 ГГц	13	Три модуля (50 + 8 + 5 Mpix)
Смартфон Infinix Note 30 8/256 Золотой RU	15999	23999	5	3	Infinix	Золотистый	2023-07	Китай	219	6.78	IPS	120	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16	Три модуля (64 + 2 + 0.30 Mpix)
Смартфон HONOR 90 256GB Полночный черный EAC	36999	40999	4.5	10	HONOR	Черный		Китай	183	6.7	AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 7 Gen 1 2.50 ГГц	50	Три модуля (200 + 12 + 2 Mpix)
Смартфон Samsung Galaxy S23 FE 128GB Бежевый EAC	50999				Samsung	Бежевый	2023-10	Вьетнам	209	6.4	Dynamic AMOLED 2X		128	8	4500	8-ядерный Samsung Exynos 2200 2.50 ГГц	10	Три модуля (50 + 12 + 8 Mpix)
Смартфон HONOR 90 256GB Изумрудно-зеленый EAC	36999	40999	4.5	10	HONOR	Зеленый		Китай	183	6.7	AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 7 Gen 1 2.50 ГГц	50	Три модуля (200 + 12 + 2 Mpix)
Смартфон Poco X6 5G 12/256GB Black RU	29999	34999			Poco	Черный		Китай	181	6.67	AMOLED	120	256	12	5000	8-ядерный Qualcomm Snapdragon 7s Gen 2 7s Gen2 2.40 ГГц	16	Три модуля (64 + 8 + 2 Mpix)
Смартфон Samsung Galaxy A34 128GB Фиолетовый RU	23499		5	3	Samsung	Фиолетовый	2023-03		199	6.6	Super AMOLED	120	128	6	5000	8-ядерный Samsung Dimensity 1080 2.60 ГГц	13	Три модуля (48 + 8 + 5 Mpix)
Смартфон HONOR X8b 8/256GB Серебристый EAC	22999	25999	5	23	HONOR	Серебристый	2024-06	Китай	166	6.7	AMOLED		256	8	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	50	Три модуля (108 + 5 + 2 Mpix)
Смартфон HONOR X6 64GB Синий EAC	13999		5	1	HONOR	Синий		Китай	194	6.5	IPS		64	4	5000	8-ядерный MediaTek Helio G25 2.00 ГГц	5	Три модуля (50 + 2 + 2 Mpix)
Смартфон Xiaomi Redmi Note 12s 8/256GB Ice Blue RU	16999				Xiaomi	Синий	2023-05	Китай	179	6.43	AMOLED	90	256	8	5000	8-ядерный MediaTek Helio G96 2.05 ГГц	16	Три модуля (108 + 8 + 2 Mpix)
Смартфон TECNO Camon 19 128GB Морская соль RU	9999		5	14	TECNO	Серебристый	2022-07	Китай	205	6.8	Full HD+		128	6	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	16	Три модуля (64 + 50 + 2 Mpix)
Смартфон TECNO Pova 6 Neo 8/256GB Speed Black RU	18999	20999	5	2	TECNO	Черный	2024-03	Китай	206	6.8	Full HD+	120	256	8	7000	8-ядерный MediaTek G99 Ultimate 2.20 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон TECNO Spark 10 Pro 256GB Черный RU	14999	16990	5	7	TECNO	Черный	2023-05	Китай	205	6.78	IPS	90	256	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
Смартфон Infinix HOT 40 8/256 Черный RU	14999	16999			Infinix	Черный	2023-12	Китай	197	6.78	IPS	90	256	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32	Три модуля (50 + 2 + 0.20 Mpix)
Смартфон HONOR X8 128GB Полночный черный RU	13999		4.8	25	HONOR	Черный	2022-04	Китай	177	6.7	LTPS		128	6	4000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16	Четыре модуля (64 + 5 + 2 + 2 Mpix)
Смартфон Samsung Galaxy A35 8/128GB Лавандовый EAC	29999	34999	5	1	Samsung	Фиолетовый	2024-03		209	6.6	Super AMOLED	120	128	8	5000	8-ядерный Samsung Exynos 1380 2.40 ГГц	13	Три модуля (50 + 8 + 5 Mpix)
Смартфон TECNO Camon 30 5G 8/256GB Basaltic Dark RU	22999	30999			TECNO	Черный	2024-04	Китай	197.5	6.8	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	50	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy S24+ 12/512GB Серый EAC	105999		5	3	Samsung	Серый	2024-01		197	6.7	Dynamic AMOLED 2X	120	512	12	4900	10-ядерный Exynos 2400 3.30 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон Infinix Note 30 8/256 Синий RU	15999	23999	5	3	Infinix	Синий	2023-07	Китай	219	6.78	IPS	120	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16	Три модуля (64 + 2 + 0.30 Mpix)
Смартфон realme C33 128GB Черный RU	7399		5	2	realme	Черный	2022-10	Китай	187	6.5	IPS LCD		128	4	5000	8-ядерный Unisoc T612 1.82 ГГц	5	Два модуля (50 + 2 Mpix)
Смартфон Itel A70 4/256GB Black RU	8499		5	1	Itel	Черный	2024-02	Китай	195	6.6	IPS		256	4	5000	8-ядерный Unisoc T603 1.60 ГГц	8	Два модуля (13 + 0.08 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro+ 5G 8GB/256GB Aurora Purple RU	45999	46999			Xiaomi	Синий	2024-01	Китай	205	6.67	AMOLED	120	256	8	5000	8-ядерный MediaTek Dimensity 7200 Ultra 2.80 ГГц	16	Три модуля (200 + 8 + 2 Mpix)
Смартфон realme C61 6/128, Green RU	9999	11499	5	5	realme	Зеленый	2024-07	Китай	187	6.74	IPS	90	128	6	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	5	50 Mpix
Смартфон TECNO Spark 20 8/256GB Белый RU	13999	14999	3	1	TECNO	Белый	2023-12	Китай	190	6.56	IPS	90	256	8	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
Смартфон Samsung Galaxy Z Fold6 256GB Серый EAC	189999				Samsung	Серый	2024-07	Вьетнам	239	7.6	Dynamic AMOLED 2X		256	12	4400	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Три модуля (50 + 12 + 10 Mpix)
Смартфон TECNO Camon 19 Pro 128GB Полярный синий RU	13999		5	12	TECNO	Синий	2022-07	Китай	205	6.8	Full HD+		128	8	5000	8-ядерный MediaTek Helio G96 2.00 ГГц	32	Три модуля (64 + 50 + 2 Mpix)
Смартфон Xiaomi Redmi 12 8/256GB Polar Silver RU	12999		4.8	5	Xiaomi	Серебристый	2023-06	Китай	199	6.79	Full HD+		256	8	5000	8-ядерный MediaTek HelioG88 2.00 ГГц	8	Три модуля (50 + 8 + 2 Mpix)
Смартфон Xiaomi Redmi A3x 3/64GB Aurora Green RU	6999				Xiaomi	Зеленый	2024-06	Китай	199	6.78	IPS	90	64	3	5000	8-ядерный Unisoc T603 1.80 ГГц	5	8 Mpix
Смартфон TECNO Pova 4 Pro 256GB Оранжевый RU	15999		4.8	25	TECNO	Оранжевый	2022-11	Китай	213.5	6.7	AMOLED		256	8	6000	8-ядерный MediaTek Helio G99 2.20 ГГц	8	Два модуля (50 + 2 Mpix)
Смартфон Infinix HOT 40 8/256 Синий RU	14999	16999			Infinix	Синий	2023-12	Китай	197	6.78	IPS	90	256	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32	Три модуля (50 + 2 + 0.20 Mpix)
Смартфон TECNO Spark 20 8/256GB Синий RU	13999	14999	3	1	TECNO	Синий	2023-12	Китай	190	6.56	IPS	90	256	8	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
Смартфон realme C65 8/256GB Black RU	16999	19999	5	4	realme	Черный		Китай	185	6.67	IPS		256	8	4880	8-ядерный MediaTek 685 G85, 2.00 ГГц	8	Два модуля (50 Mpix)
Смартфон HONOR X8 128GB Титановый серебристый RU	13999		4.8	25	HONOR	Серебристый	2022-04	Китай	177	6.7	LTPS		128	6	4000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16	Четыре модуля (64 + 5 + 2 + 2 Mpix)
Смартфон Infinix Smart 8 Pro 4/64GB Черный RU	7999				Infinix	Черный	2024-02	Китай	184	6.56	HD Plus IPS	90	64	4	5000	8-ядерный MediaTek G36 2.20 ГГц	8	Два модуля (50 + 0.80 Mpix)
